"NZPOCS STATUS (LOINC 2.73)",NZ_SHORT_NAME,Consumer_Name,LOINC_LONG_NAME,CODE,SOURCE_TYPE,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,REMARKS,KEYWORDS,LOINC_STATUS,EFFECTIVE_DATE,END_DATE,MERGE_TO_CODE,MERGE_TO_SOURCE_TYPE,NZ_ ORDERS,"NZ_OBSERVATION",Haematology,"MicrobiologyABX",Microbiology Gyn/Cyto,Biochemistry,Immunology,Serology / Virology,Toxicology,"Histology(Bowel Screening)",EXTERNAL_COPYRIGHT_NOTICE,LOINC_SHORTNAME,HPAC_CODE,HPAC_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,6-Thioguanine nucleotides  blood,"6-Thioguanine, Red Blood Cells",6-Thioguanine [Entitic substance] in Red Blood Cells,32660-3,LN,6-Thioguanine,EntSub,Pt,RBC,Qn,,,6Thioguanine nucleotides 6-TGN  entitic substance red blood cells RBC,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,6-TGN EntSub RBC,,"6-Thioguanine nucleotides, Blood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,7-aminoclonazepam  urine,"7-Aminoclonazepam, Urine",7-Aminoclonazepam [Presence] in Urine,61030-3,LN,7-Aminoclonazepam,PrThr,Pt,Urine,Ord,,,7-aminoclonazepam  urine qualitative,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,7Aminoclonazepam Ur Ql,,"7-aminoclonazepam, urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,7-aminoclonazepam urine,"7-Aminoclonazepam, Urine",7-Aminoclonazepam [Mass/​volume] in Urine by Confirmatory method,51776-3,LN,7-Aminoclonazepam,MCnc,Pt,Urine,Qn,Confirm,,7-aminoclonazepam  urine confirmatory method,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,7Aminoclonazepam Ur Cfm-mCnc,,"7-aminoclonazepam, urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,7-aminoflunitrazepam urine,"7-Aminoflunitrazepam, Urine",7-Aminoflunitrazepam [Presence] in Urine,61033-7,LN,7-Aminoflunitrazepam,PrThr,Pt,Urine,Ord,,,7-aminoflunitrazepam urine qualitative,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,7Aminoflunitrazepam Ur Ql,,"7-aminoflunitrazepam, urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,7-aminoflunitrazepam urine by Confirmatory method,"7-Aminoflunitrazepam, Urine",7-Aminoflunitrazepam [Mass/​volume] in Urine by Confirmatory method,51777-1,LN,7-Aminoflunitrazepam,MCnc,Pt,Urine,Qn,,,7-aminoflunitrazepam urine confirmatory method,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,7Aminoflunitrazepam Ur Cfm-mCnc,,"7-aminoflunitrazepam, urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Abacavir suscep (qual),Susceptibility to Abacavir,Abacavir [Susceptibility],30303-2,LN,Abacavir,Susc,Pt,Isolate,OrdQn,,,Abacavir,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Abacavir Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Abnormal forms (head) semen,"Spermatozoa Abnormal Head per 100 Sperm, Semen",Spermatozoa Abnormal Head/100 spermatozoa in Semen,10602-1,LN,Spermatozoa.abnormal head/100 spermatozoa,NFr,Pt,Semen,Qn,,,abnormal forms head semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Sperm Abnorm Head NFr Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Abnormal forms (midpiece) semen,"Spermatozoa Abnormal Midpiece per 100 Sperm, Semen",Spermatozoa Abnormal Midpiece/100 spermatozoa in Semen,10603-9,LN,Spermatozoa.abnormal midpiece/100 spermatozoa,NFr,Pt,Semen,Qn,,,abnormal forms midpiece semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Sperm Abnorm Midpiece NFr Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Abnormal forms (tail) semen,"Spermatozoa Abnormal Tail per 100 Sperm, Semen",Spermatozoa Abnormal Tail/100 spermatozoa in Semen,10604-7,LN,Spermatozoa.abnormal tail/100 spermatozoa,NFr,Pt,Semen,Qn,,,abnormal forms tail semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Sperm Abnorm Tail NFr Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Abnormal forms semen,"Spermatozoa Abnormal per 100 Sperm, Semen",Spermatozoa Abnormal/100 spermatozoa in Semen,15376-7,LN,Spermatozoa.abnormal/100 spermatozoa,NFr,Pt,Semen,Qn,,,abnormal forms semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Sperm Abnorm NFr Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ABO + Rh Group New Born,"ABO and Rh group, Newborn Blood",ABO +​ Rh group [Type] in Blood from newborn,19057-9,LN,ABO+Rh group,Type,Pt,Bld^Newborn ,Nom,,,ABO Rh group rhesus blood new born,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,ABO + Rh Bld NB,,ABO/Rh New Born,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ABO +​ Rh Group (Blood Product Post Tx Rxn),"ABO and Rh group After Transfusion Reaction, Blood Product Unit",ABO +​ Rh group [Type] in Blood from Blood product unit--after transfusion reaction,46268-9,LN,ABO & Rh group^post transfusion reaction,Type,Pt,Bld^BPU ,Nom,,,ABO Rh group rhesus blood product post transfusion reaction,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,ABO + Rh p transf rx Bld BPU,,Transfusion Reaction Investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ABO and Rh group,"ABO and Rh group, Blood",ABO and Rh group [Type] in Blood,882-1,LN,ABO+Rh group,Type,Pt,Bld,Nom,,,ABO Rh group rhesus blood,ACTIVE,,,,,Yes,Yes,Yes,,,,,,,,,ABO + Rh Bld,H64,Blood grouping – ABO/Rhesus Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ABO Group (Post Tx Rxn),"ABO group After Transfusion Reaction, Blood",ABO group [Type] in Blood--after transfusion reaction,46270-5,LN,ABO group^post transfusion reaction,Type,Pt,Bld,Nom,,,ABO  group  blood post transfusion reaction,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,ABO Group p transf rx Bld,,Transfusion Reaction Investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acanthamoeba (culture),"Acanthamoeba Sp culture, Specimen",Acanthamoeba sp identified in Unspecified specimen by Organism specific culture,9781-6,LN,Acanthamoeba sp identified,Prid,Pt,XXX,Nom,Organism specific culture,,Acanthamoeba culture ,ACTIVE,,,,,Yes,Yes,,,Yes,,,,,,,Acanthamoeba XXX Cult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acetone,"Acetone, Blood",Acetone [Mass/​volume] in Serum or Plasma,5568-1,LN,Acetone,MCnc,Pt,Ser/Plas,Qn,,,acetone,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,Yes,,,Acetone SerPl-mCnc,,Acetone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acetone urine,"Acetone, Urine",Acetone [Mass/​volume] in Urine,5570-7,LN,Acetone,MCnc,Pt,Urine,Qn,,,acetone urine,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,,Yes,,,Acetone Ur-mCnc,,Acetone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acid phosphatase,"Acid Phosphatase, Blood",Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,1715-2,LN,Acid phosphatase,CCnc,Pt,Ser/Plas,Qn,,,acid phosphatase,ACTIVE,,,,,Yes,Yes,,,,Yes,,,,,,ACP SerPl-cCnc,BZ4,"Acid phosphatase, serum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acid phosphatase (prostatic),"Prostatic acid Phosphatase, Blood",Prostatic acid phosphatase [Enzymatic activity/volume] in Serum,1714-5,LN,Acid phosphatase.prostatic,CCnc,Pt,Ser,Qn,,,acid phosphatase prostatic,ACTIVE,,,,,Yes,Yes,,,,Yes,,,,,,PACP Ser-cCnc,BZ4,"Acid phosphatase, serum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ACTH (1d p metyrapone),"Corticotropin 1 Day after metyraPONE, Blood",Corticotropin [Moles/​volume] in Plasma --1 day post dose metyrapone,58570-3,LN,Corticotropin^1D post dose metyrapone,SCnc,Pt,Plas,Qn,,"Metyrapone consists of  cortisol, 11-deoxycortisol and ACTH post Metyrapone meal.  ",adrenocorticotropic hormone ACTH 1 day post metyrapone dose,ACTIVE,1-Apr-15,,,,,Yes,,,,Yes,,,,,,ACTH 1D p MTP Plas-sCnc,,Metyrapone test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Actinomyces (culture),"Actinomyces Sp culture, Specimen",Actinomyces sp identified in Unspecified specimen by Organism specific culture,9816-0,LN,Actinomyces sp identified,Prid,Pt,XXX,Nom,Organism specific culture,,actinomyces culture ,ACTIVE,,,,,Yes,Yes,,,Yes,,,,,,,Actinomyces XXX Cult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Active B12,"Holo-transcobalamin II, Blood",Holo-transcobalamin II [Moles/​volume] in Serum,72160-5,LN,Holo-transcobalamin II,SCnc,Pt,Ser,Qn,,, active B12 transcobalamin,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Holo-TC-II Ser-sCnc,,Active B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Acyclovir suscep (qual),,Acyclovir [Susceptibility],1-8,LN,Acyclovir,Susc,Pt,Isolate,OrdQn,,,Acyclovir,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Acyclovir Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,ADAMSTS-13,"vWf cleaving Protease actual/normal, Blood",von Willebrand factor (vWf) cleaving protease actual/​normal in Platelet poor plasma by Chromogenic method,53622-7,LN,von Willebrand factor cleaving protease actual/normal,RelCCnc,Pt,PPP,Qn,Chromo,," ADAMTS-13 activity assay thrombotic thrombocytopenic purpura, TTP",ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,vWF Cp Act/Nor PPP Chro,,"ADAMTS-13 Activity Assay, Plasma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adefovir suscep (qual),Susceptibility to Adefovir,Adefovir [Susceptibility],30304-0,LN,Adefovir,Susc,Pt,Isolate,OrdQn,,,Adefovir,ACTIVE,,,,,,Yes,,Yes,,,,,,,,Adefovir Susc Islt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adenovirus DNA (NAAT),"Adenovirus, Specimen",Adenovirus DNA [Presence] in Unspecified specimen by NAA with probe detection,39528-5,LN,Adenovirus DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,,adenovirus DNA PCR NAAT ,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,,Yes,,,,HAdV DNA XXX Ql NAA+probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adenovirus faecal Ag,"Adenovirus 40+41 antigen, Stool",Adenovirus 40+41 Ag [Presence] in Stool by Immunoassay,6306-5,LN,Adenovirus 40+41 Ag,PrThr,Pt,Stool,Ord,IA,,adenovirus faecal antigen Ag,ACTIVE,1-Apr-15,,,,Yes,Yes,,,Yes,,,Yes,,,,AdV 40+41 Ag Stl Ql IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adiponectin,"Adiponectin, Blood",Adiponectin [Mass/​volume] in Serum or Plasma,47828-9,LN,Adiponectin,MCnc,Pt,Ser/Plas,Qn,,Done for Research purposes only,adiponectin,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Adiponectin SerPl-mCnc,,Adiponectin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenal Ab (titre),"Adrenal antibody, Blood",Adrenal Ab [Titer] in Serum,32661-1,LN,Adrenal Ab,Titr,Pt,Ser,Qn,,,adrenal Ab antibody titre tissue,ACTIVE,,,,,Yes,Yes,,,,,Yes,,,,,Adrenal Ab Titr Ser,D19,"Auto-antibodies, other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenal Ab (titre) by Immunofluorescence,"Adrenal antibody, Blood",Adrenal Ab [Titer] in Serum by Immunofluorescence,5043-5,LN,Adrenal Ab,Titr,Pt,Ser,Qn,IF,,adrenal Ab antibody titre,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,Yes,,,,,Adrenal Ab Titr Ser IF,,Adrenal antibodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenal Ab(qual),"Adrenal antibody, Blood",Adrenal Ab [Presence] in Serum by Immunofluorescence,57745-2,LN,Adrenal Ab,PrThr,Pt,Ser,Ord,IF,,adrenal Ab antibody qualitative,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,,Yes,,,,,Adrenal Ab Ser Ql IF,,Adrenal antibodies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenaline,"EPINEPHrine, Blood",Epinephrine [Moles/​volume] in Plasma,14711-6,LN,Epinephrine,SCnc,Pt,Plas,Qn,,,adrenaline epinephrine catecholamines,ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,Epineph Plas-sCnc,,Epinephrine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenaline urine,"EPINEPHrine, Urine",Epinephrine [Moles/volume] in Urine,24521-7,LN,Epinephrine,SCnc,Pt,Urine,Qn,,,adrenaline urine catecholamines,ACTIVE,,,,,,Yes,,,,Yes,,,,,,Epineph Ur-sCnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenaline urine 24h,"EPINEPHrine, Urine",Epinephrine [Moles/time] in 24 hour Urine,14712-4,LN,Epinephrine,SRat,24H,Urine,Qn,,,adrenaline urine 24h catecholamines,ACTIVE,,,,,,Yes,,,,Yes,,,,,,Epineph 24h Ur-sRate,BA3,"Catecholamines, 24 hr urine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenaline/creat urine,"EPINEPHrine/Creatinine, Urine",Epinephrine/Creatinine [Molar ratio] in Urine,24522-5,LN,Epinephrine/Creatinine,SRto,Pt,Urine,Qn,,,adrenaline creatinine ratio urine catecholamines,ACTIVE,,,,,,Yes,,,,Yes,,,,,,Epineph/Creat Ur-sRto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenaline/creat urine 24h,"EPINEPHrine/Creatinine, Urine",Epinephrine/Creatinine [Molar ratio] in 24 hour Urine,25909-3,LN,Epinephrine/Creatinine,SRto,24H,Urine,Qn,,,adrenaline creatinine ratio urine 24h catecholamines,ACTIVE,,,,,,Yes,,,,Yes,,,,,,Epineph/Creat 24h Ur-sRto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Adrenocorticotropic hormone,"Corticotropin, Blood",Corticotropin [Moles/​volume] in Plasma,14674-6,LN,Corticotropin,SCnc,Pt,Plas,Qn,,,adrenocorticotropic hormone (ACTH),ACTIVE,1-Apr-15,,,,Yes,Yes,,,,Yes,,,,,,ACTH Plas-sCnc,,ACTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Agglutination semen,"Spermatozoa Agglutinated per 100 Sperm, Semen",Spermatozoa Agglutinated/100 spermatozoa in Semen,10605-4,LN,Spermatozoa.agglutinated/100 spermatozoa,NFr,Pt,Semen,Qn,,,agglutination semen,ACTIVE,,,,,,Yes,,,Yes,,,,,,,Sperm Agglutinated NFr Smn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (direct, complement)","Direct Antiglobulin Test (DAT; Direct Coombs), Red Blood Cells",Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells,1004-1,LN,Direct antiglobulin test.complement specific reagent,PrThr,Pt,RBC,Ord,,,AHG antiglobulin Coombs direct complement globulin,ACTIVE,1-Apr-17,,,,,Yes,Yes,,,,,,,,,DAT Comp-Sp Reag RBC Ql,H20,Anti human globulin test including Coombs test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (direct, IgG)","Direct Antiglobulin Test (DAT; Direct Coombs), Cord Red Blood Cells",Direct antiglobulin test.IgG specific reagent [presence] on Cord red blood cells,52114-6,LN,Direct antiglobulin test.IgG specific reagent,PrThr,Pt,RBCCo,Ord,,,AHG antiglobulin Coombs direct IgG globulin,ACTIVE,10-Dec-09,,,,,Yes,Yes,,,,,,,,,DAT IgG-Sp Reag RBCCo Ql,H20,Anti human globulin test including Coombs test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (direct, polyspecific Post Tx Rxn)","Direct Antiglobulin Test (DAT; Direct Coombs) After Transfusion Reaction, Red Blood Cells",Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells --after transfusion reaction,46274-7,LN,Direct antiglobulin test.poly specific reagent^post transfusion reaction,PrThr,Pt,RBC,Ord,,,AHG direct polyspecific post transfusion reaction,ACTIVE,1-Apr-15,,,,Yes,Yes,Yes,,,,,,,,,DAT Poly-Sp Reag p transf rx RBC Ql,,Transfusion Reaction Investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (direct, polyspecific)","Direct Antiglobulin Test (DAT; Direct Coombs), Red Blood Cells",Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells,1007-4,LN,Direct antiglobulin test.poly specific reagent,PrThr,Pt,RBC,Ord,,,AHG antiglobulin Coombs direct polyspecific globulin,ACTIVE,1-Apr-17,,,,,Yes,Yes,,,,,,,,,DAT Poly-Sp Reag RBC Ql,H20,Anti human globulin test including Coombs test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (indirect, complement)","Indirect Antiglobulin Test (IAT; Indirect Coombs), Blood",Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma,1003-3,LN,Indirect antiglobulin test.complement specific reagent,PrThr,Pt,Ser/Plas,Ord,,,AHG antiglobulin Coombs indirect complement globulin,ACTIVE,1-Apr-17,,,,,Yes,Yes,,,,,,,,,IAT Comp-Sp Reag SerPl Ql,H20,Anti human globulin test including Coombs test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"AHG (indirect, IgG)","Indirect Antiglobulin Test (IAT; Indirect Coombs), Blood",Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma,1005-8,LN,Indirect antiglobulin test.IgG specific reagent,PrThr,Pt,Ser/Plas,Ord,,,AHG antiglobulin Coombs indirect IgG globulin,ACTIVE,1-Apr-17,,,,,Yes,Yes,,,,,,,,,IAT IgG-Sp Reag SerPl Ql,H20,Anti human globulin test including Coombs test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
